SC,名称,決算期,決算発表日(本決算),売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),自己資本比率,ROE,ROA,発行済株式数(更新日時点)
2915,ケンコーマヨネーズ,202503,20250512,91703,4845,4999,3503,64080,39963,5424,3815,62.4,8.87,5.33,16476000
3101,東洋紡,202503,20250512,422032,16653,10591,2003,617799,195312,51730,261070,31.6,1.02,0.33,89048792
3131,シンデン・ハイテックス,202503,20250512,43745,1400,929,642,16636,7404,1438,5966,44.5,8.86,3.65,2110200
3143,オーウイル,202503,20250512,39156,1162,1151,915,16231,5123,363,4725,31.6,19.21,6.13,9450000
3199,綿半ホールディングス,202503,20250512,133594,3501,3812,2077,79434,23240,1101,26470,29.3,9.02,2.62,19958940
3294,イーグランド,202503,20250512,30502,1487,1239,880,31285,11456,836,18668,36.6,7.82,3.03,6379100
3401,帝人,202503,20250512,1005471,-71828,-78038,28347,1061272,431377,71833,362479,40.6,6.4,2.45,197953707
3467,アグレ都市デザイン,202503,20250512,30743,2548,2247,1580,33288,7228,390,22873,21.7,23.9,5.42,5754000
3537,昭栄薬品,202503,20250512,25012,559,757,527,17098,8935,248,600,52.3,6.17,3.11,3579105
3583,オーベクス,202503,20250512,6035,841,814,580,9842,6707,1939,1446,68.1,8.95,5.93,3092623
3634,ソケッツ,202503,20250512,1039,-76,-80,-139,814,521,505,-,64,-23.38,-15.58,2477400
3741,セック,202503,20250512,10295,1793,1893,1344,11775,9330,477,36,79.2,15.16,12.28,10240000
3793,ドリコム,202503,20250512,12655,112,53,-1035,13506,4670,1880,4726,34.6,-20.12,-7.49,29446212
3802,エコミック,202503,20250512,2121,46,61,43,1969,1801,564,-,91.5,2.38,2.11,4693200
3848,データ・アプリケーション,202503,20250512,2607,329,360,268,6179,4775,430,94,77.3,5.61,4.34,7414000
3951,朝日印刷,202503,20250512,43945,2076,2165,1704,70462,34275,2228,18674,48.6,5.06,2.45,22890829
3954,昭和パックス,202503,20250512,23316,1377,1626,1320,33384,23451,640,1210,70.2,5.68,3.96,4450000
3970,イノベーション,202503,20250512,5343,351,340,67,8321,3385,1241,2600,40.7,1.94,1.03,2762100
4008,住友精化,202503,20250512,147571,10712,11106,5961,141532,94312,9732,18328,66.6,6.3,4.29,69958980
4023,クレハ,202503,20250512,162015,9428,10218,7800,345298,209372,18169,80531,60.6,3.62,2.31,49942221
4091,日本酸素ホールディングス,202503,20250512,1308024,165906,145272,98779,2418197,980452,37344,850566,40.5,10.43,4.09,433092837
4102,丸尾カルシウム,202503,20250512,12843,5,197,148,16869,9752,876,2300,57.8,1.53,0.87,2355200
4113,田岡化学工業,202503,20250512,29930,1887,1964,1478,30407,18499,1572,1490,60.8,8.28,4.92,14440000
4182,三菱瓦斯化学,202503,20250512,773591,50851,60316,45544,1119688,668222,41970,200058,59.7,6.87,4.16,211686599
4203,住友ベークライト,202503,20250512,304773,24792,28614,19281,417778,290672,37143,30680,69.6,6.52,4.49,88249856
4208,UBE,202503,20250512,486802,18045,22372,-4816,865669,395078,58435,325480,45.6,-1.2,-0.58,106200107
4368,扶桑化学工業,202503,20250512,69501,16230,16561,11622,141502,104048,4334,20000,73.5,11.68,8.44,106533000
4507,塩野義製薬,202503,20250512,438268,156603,200750,170435,1535349,1361925,21279,-,88.7,13.12,11.55,889632195
4521,科研製薬,202503,20250512,94035,21034,21279,13945,190422,152634,23853,3850,80.2,9.41,7.7,44139730
4534,持田製薬,202503,20250512,105159,8126,8067,5685,160121,130694,7229,-,81.6,4.4,3.57,36390000
4540,ツムラ,202503,20250512,181093,40125,42446,32428,464380,300531,30142,70336,64.7,11.35,7.27,76758362
4569,杏林製薬,202503,20250512,130087,12567,13219,9086,193618,136285,700,27835,70.4,6.8,4.89,59945641
4613,関西ペイント,202503,20250512,588825,52050,49103,38306,750699,269190,25658,212151,35.9,13.23,5.32,177976280
4687,TDCソフト,202503,20250512,44417,4772,4876,3433,28286,20881,970,531,73.8,17.44,12.76,50227200
4719,アルファシステムズ,202503,20250512,38484,4422,4540,3211,52016,43472,8500,-,83.6,7.53,6.25,14052400
4736,日本ラッド,202503,20250512,4356,318,390,417,4938,3388,1239,-,68.6,13.21,9.03,5355390
4886,あすか製薬ホールディングス,202503,20250512,64139,5331,5107,5101,100534,65310,1197,10902,65,8.02,5.33,28763199
4890,坪田ラボ,202503,20250512,1357,235,281,205,2503,1587,825,90,63.4,13.88,8.55,25794300
4966,上村工業,202503,20250512,83845,18829,20041,14078,130589,106119,1336,400,81.3,14.16,11.32,18099000
4980,デクセリアルズ,202503,20250512,110390,39735,39359,27737,151821,95915,16262,21078,63.2,30.67,19.14,174741400
4994,大成ラミックグループ,202503,20250512,30849,2372,2396,1690,34221,25157,3426,-,73.5,6.88,5.05,7047500
5011,ニチレキグループ,202503,20250512,75745,6268,7047,4848,112368,77320,2919,19737,68.8,6.37,4.67,31685955
5020,ENEOSホールディングス,202503,20250512,12322494,106093,88219,226071,8789377,3100660,100000,2336783,35.3,7.15,2.39,2706766549
5121,藤倉コンポジット,202503,20250512,41325,4807,5050,3888,47827,34433,3804,3600,72,10.96,8.46,20074968
5142,アキレス,202503,20250512,79093,-436,-220,427,79504,39336,14640,14650,49.5,1.08,0.53,14562714
5393,ニチアス,202503,20250512,256512,39732,41693,32073,289044,215421,12128,9870,74.5,15.45,11.06,190985751
5406,神戸製鋼所,202503,20250512,2555031,158721,157192,120180,2891053,1161797,250930,834519,40.2,10.84,4.14,396345963
5535,ミガロホールディングス,202503,20250512,51709,2713,2121,1390,54506,11131,79,38380,20.4,12.94,2.7,64635100
5660,神鋼鋼線工業,202503,20250512,34293,1167,1235,1034,44081,24022,8062,10370,54.5,4.41,2.37,5912999
5753,日本伸銅,202503,20250512,26122,1835,1413,964,16474,11909,1595,1500,72.3,8.44,6.13,2370000
5757,CKサンエツ,202503,20250512,125108,10263,8383,5207,86975,52265,2756,8502,60.1,10.45,6.35,8867000
5838,楽天銀行,202503,20250512,184534,-,71524,50779,14748639,301838,32616,-,2,18.06,0.36,174499180
5952,アマテイ,202503,20250512,5583,239,218,142,5231,1484,615,2078,28.4,9.94,2.68,12317000
5962,浅香工業,202503,20250512,8448,304,336,227,6844,4222,829,1065,61.7,5.51,3.2,1037080
5976,高周波熱錬,202503,20250512,57563,1617,2321,1815,83760,59541,6418,6793,71.1,3.04,2.21,32805400
5988,パイオラックス,202503,20250512,63351,2382,3402,1792,105464,90446,2960,-,85.8,1.82,1.58,37054100
6018,阪神内燃機工業,202503,20250512,13337,611,682,536,25000,14772,829,-,59.1,3.68,2.24,3248548
6022,赤阪鐵工所,202503,20250512,7845,19,58,38,14035,8959,1510,1187,63.8,0.42,0.27,1540000
6089,ウィルグループ,202503,20250512,139705,2338,2177,1155,49923,17391,2217,6605,34.8,6.62,2.28,23118900
6104,芝浦機械,202503,20250512,168191,14095,14085,12597,199607,117171,12484,10135,58.7,11.01,5.56,24820406
6137,小池酸素工業,202503,20250512,55206,5448,6046,3633,74735,42557,4028,5853,56.9,8.87,4.9,22614665
6166,中村超硬,202503,20250512,2640,7,-21,-32,5355,810,349,2831,15.1,-3.87,-0.56,11020900
6197,ソラスト,202503,20250512,137435,7017,6726,3960,70097,22679,686,19942,32.4,18.35,5.45,94741793
6226,守谷輸送機工業,202503,20250512,19435,4092,4198,2840,17190,11487,1105,-,66.8,27.56,17.61,35371600
6292,カワタ,202503,20250512,20766,984,1033,576,25304,13217,977,6010,52.2,4.49,2.21,7210000
6333,TEIKOKU,202503,20250512,30546,6055,6296,3811,42396,32739,3143,-,77.2,11.8,9.03,15780038
6335,東京機械製作所,202503,20250512,7401,641,751,345,14511,8162,4435,-,56.2,4.25,2.32,8728920
6339,新東工業,202503,20250512,150224,3004,3226,2757,236764,119619,5752,49128,50.5,2.3,1.3,54580928
6380,オリエンタルチエン工業,202503,20250512,4055,142,145,100,5130,1855,1066,2098,36.2,5.39,1.95,1602233
6384,昭和真空,202503,20250512,8480,792,837,561,15451,11590,2177,550,75,4.88,3.77,6499000
6392,ヤマダコーポレーション,202503,20250512,14628,1962,2188,1607,19302,16410,600,928,85,10.07,8.38,2400000
6402,兼松エンジニアリング,202503,20250512,13300,954,973,700,12079,7140,313,1481,59.1,10.16,5.5,5564000
6417,SANKYO,202503,20250512,191821,73605,74587,53992,336709,283414,14840,-,84.2,20.25,17.17,230000000
6460,セガサミーホールディングス,202503,20250512,428948,48124,53114,45051,644777,381166,29953,149500,59.1,12.21,6.94,213545376
6471,日本精工,202503,20250512,796667,28457,25100,10647,1219543,651462,67176,323624,53.4,1.62,0.85,500000000
6480,日本トムソン,202503,20250512,54384,1592,1841,978,120666,75532,9533,33605,62.6,1.29,0.82,73501425
6484,KVK,202503,20250512,29648,2660,3072,2110,36276,28325,2854,-,78.1,7.63,5.97,8322178
6584,三櫻工業,202503,20250512,159538,4860,4600,737,117138,44271,3481,39140,37.8,1.66,0.65,37112000
6588,東芝テック,202503,20250512,577023,20251,18344,29937,346371,108078,39970,19633,31.2,30.53,8.76,57629140
6625,JALCOホールディングス,202503,20250512,6859,2528,622,65,77651,19003,7331,50874,24.5,0.34,0.09,117416118
6644,大崎電気工業,202503,20250512,97102,5701,5386,3504,100513,52153,7965,6926,51.9,6.89,3.57,46917180
6753,シャープ,202503,20250512,2160146,27338,17653,36095,1453730,153368,5000,517657,10.5,24.41,2.37,650414638
6768,タムラ製作所,202503,20250512,114051,5195,5061,2782,124348,63810,11829,28652,51.3,4.59,2.33,82771473
6772,東京コスモス電機,202503,20250512,10506,1040,1028,709,12014,7575,1277,1367,63.1,9.73,5.8,6825860
6862,ミナトホールディングス,202503,20250512,24540,767,582,373,17553,5909,1086,9070,33.7,6.4,2.17,7925714
6928,エノモト,202503,20250512,26880,618,669,447,32834,21890,4749,4036,66.7,2.09,1.37,6865360
6947,図研,202503,20250512,40736,5392,5936,5226,63274,39948,10117,-,63.1,13,8.22,22249804
6986,双葉電子工業,202503,20250512,48116,-1292,-206,-281,101090,77168,22558,94,76.3,-0.36,-0.27,42426739
7004,カナデビア,202503,20250512,610523,26946,24329,22103,609666,189365,45442,126528,31.1,12.56,3.87,170214843
7018,内海造船,202503,20250512,44648,1415,1177,1017,42486,10857,1200,5680,25.6,9.87,2.36,2253000
7021,ニッチツ,202503,20250512,9850,270,216,241,16137,11232,1100,1262,69.6,2.19,1.53,2130000
7022,サノヤスホールディングス,202503,20250512,25006,1065,1073,1182,27675,10130,69,7727,36.6,12.42,4.3,33977282
7167,めぶきフィナンシャルグループ,202503,20250512,360163,64036,82801,58228,21408384,965943,117495,-,4.5,5.96,0.27,947055218
7180,九州フィナンシャルグループ,202503,20250512,251292,26491,42991,30368,13277647,703743,36000,-,5.3,4.28,0.23,463375978
7186,横浜フィナンシャルグループ,202503,20250512,399103,125652,122764,82805,24793138,1287706,150078,-,5.1,6.45,0.34,1144616065
7242,カヤバ,202503,20250512,438316,22671,21989,14899,463112,225537,27648,98968,48.7,6.73,3.17,50468662
7247,ミクニ,202503,20250512,101428,3031,2845,1995,109950,37930,2215,39994,34.5,5.14,1.8,34049423
7254,ユニバンス,202503,20250512,53915,4031,4391,2948,44892,26638,3500,521,59.3,11.49,6.46,23396787
7261,マツダ,202503,20250512,5018893,186125,188996,114079,4090081,1792282,283957,686767,43.8,6.46,2.89,631803979
7269,スズキ,202503,20250512,5825161,642851,730220,416050,5993657,2970660,138370,725299,49.6,15.24,7.31,1964586400
7318,セレンディップ・ホールディングス,202503,20250512,25124,734,735,2088,32241,7991,1142,13208,24.8,29.55,7.95,19062316
7337,ひろぎんホールディングス,202503,20250512,201368,-,52176,35835,12131905,504410,60000,-,4.2,6.9,0.29,305327921
7374,コンフィデンス・インターワークス,202503,20250512,8392,1303,1311,1039,6614,5777,534,5,87.3,17.73,15.06,6713177
7417,南陽,202503,20250512,36535,2851,3114,2038,41201,25663,1181,950,62.3,8.09,4.85,13230140
7458,第一興商,202503,20250512,153020,17945,18396,18178,209316,116333,12350,53571,55.6,16.24,8.64,103968400
7460,ヤギ,202503,20250512,83376,3572,3766,2625,79196,43176,1088,13340,54.5,6.31,3.43,9140000
7461,キムラ,202503,20250512,36249,1948,2070,1184,31388,16261,793,6540,51.8,7.5,4.06,15180000
7482,シモジマ,202503,20250512,60680,2986,3303,2088,41843,35109,1405,122,83.9,5.98,4.9,23647826
7490,日新商事,202503,20250512,39034,384,556,615,40373,23322,3624,9817,57.8,2.73,1.56,7600000
7502,プラザホールディングス,202503,20250512,18644,336,388,275,11624,2220,100,6447,19.1,12.32,2.43,2439433
7524,マルシェ,202503,20250512,4581,44,32,34,3426,410,100,2013,12,8.46,0.94,10550400
7538,大水,202503,20250512,99302,680,824,1189,24840,11457,100,3000,46.1,11.06,4.8,13774819
7554,幸楽苑,202503,20250512,18843,443,413,799,12494,5968,4988,1407,47.8,20.45,7.41,20832441
7564,ワークマン,202503,20250512,136933,24394,24904,16892,162231,135302,1622,1350,83.4,12.96,10.88,81846816
7634,星医療酸器,202503,20250512,15102,1982,2052,1463,24590,18429,436,-,74.9,8.24,6.14,3420000
7701,島津製作所,202503,20250512,539047,71720,72018,53776,672177,498059,26648,1372,74.1,10.86,7.99,296070227
7715,長野計器,202503,20250512,69544,7653,7575,6054,74406,43782,4380,10210,58.8,14.49,8.25,18892484
7721,東京計器,202503,20250512,57650,4856,5001,3797,76497,40418,7218,19479,52.8,9.83,5.29,17076439
7743,シード,202503,20250512,33231,1562,1333,1092,51760,18063,3532,19087,34.9,6.17,2.16,30265922
7877,永大化工,202503,20250512,8857,290,281,185,9851,7204,1241,1123,73.1,2.61,1.9,1460000
7885,タカノ,202503,20250512,23969,451,528,520,38470,31906,2015,82,82.9,1.64,1.33,15721000
7902,ソノコム,202503,20250512,2423,201,328,210,9525,8910,925,-,93.5,2.37,2.19,5000000
7938,リーガルコーポレーション,202503,20250512,23558,397,497,700,26258,12728,5355,9093,48.5,5.58,2.59,3250000
7988,ニフコ,202503,20250512,353038,49200,52147,44767,379816,274968,7290,35484,72.4,17.26,11.78,100232614
8061,西華産業,202503,20250512,93734,6487,8299,7799,129533,46987,6728,32,36.3,17.48,6.29,36961950
8086,ニプロ,202503,20250512,644586,26598,10817,5113,1170564,252442,84397,600251,21.6,2.11,0.45,171459479
8123,川辺,202503,20250512,12769,307,417,411,12407,7087,100,2273,57.1,5.89,3.27,1861000
8157,都築電気,202503,20250512,98263,6481,6596,4764,80063,44156,9812,8710,55.2,11.27,5.91,18977894
8159,立花エレテック,202503,20250512,220112,8222,8690,7046,165416,94992,5874,10517,57.4,7.51,4.1,25025242
8226,理経,202503,20250512,18725,1114,1019,661,11084,5358,3426,3070,48.3,13,6.18,15514721
8283,PALTAC,202503,20250512,1188097,28008,31684,22864,507048,287669,15869,-,56.7,8.08,4.56,62000000
8343,秋田銀行,202503,20250512,52214,4551,9121,5662,3460341,156357,14100,-,4.5,3.45,0.16,18093643
8349,東北銀行,202503,20250512,15028,2938,1974,1069,1009613,35376,13233,-,3.5,2.86,0.11,9509963
8354,ふくおかフィナンシャルグループ,202503,20250512,455711,99587,103594,72136,32262623,929183,124799,-,2.8,7.4,0.22,191138265
8358,スルガ銀行,202503,20250512,91092,25035,26159,20177,3462268,295707,30043,-,8.5,6.83,0.57,197139248
8370,紀陽銀行,202503,20250512,98720,-,23308,17618,5926341,235124,80096,-,4,7.46,0.3,67300000
8377,ほくほくフィナンシャルグループ,202503,20250512,210180,-,51621,39072,16441220,653820,70895,-,4,5.95,0.24,121120114
8383,鳥取銀行,202503,20250512,16324,-,1901,1313,1106482,47989,9061,-,4.3,2.68,0.12,9619938
8386,百十四銀行,202503,20250512,90007,-,19910,13700,5753583,328265,37322,-,5.7,4.17,0.24,114520000
8392,大分銀行,202503,20250512,77922,-,11088,7555,4506698,208220,19598,-,4.6,3.55,0.17,78468170
8395,佐賀銀行,202503,20250512,55231,7132,11001,7496,3177787,116199,16062,-,3.6,6.29,0.24,16935909
8541,愛媛銀行,202503,20250512,66146,-,7835,5715,2962667,135456,21367,-,4.6,4.19,0.2,39426777
8542,トマト銀行,202503,20250512,25661,-,2603,1817,1364026,55860,14310,-,4,3.22,0.13,11679030
8558,東和銀行,202503,20250512,37815,-,6389,4520,2382753,90384,38653,-,3.7,4.34,0.19,35775873
8572,アコム,202503,20250512,317742,58561,58919,32124,1486409,653562,63832,687125,44,5.01,2.21,1566614098
8591,オリックス,202503,20250512,2874821,331826,480463,351630,16866251,4089782,221111,6282798,24.2,8.76,2.12,1124106624
8714,池田泉州ホールディングス,202503,20250512,93074,-,19549,13246,6431321,237185,102999,-,3.6,5.53,0.21,281008632
8802,三菱地所,202503,20250512,1579812,309232,262960,189356,7996591,2563581,142414,3336986,32.1,7.63,2.43,1217233706
8844,コスモスイニシア,202503,20250512,129528,9452,7943,5323,176849,49314,5000,100338,27.9,11.33,3.04,33911219
8850,スターツコーポレーション,202503,20250512,232978,32622,33404,24274,333647,174750,11039,69646,52.4,14.41,7.38,53998205
8869,明和地所,202503,20250512,79902,5240,3769,2897,152097,33979,3537,86811,22.3,8.79,2.1,23447684
8897,MIRARTHホールディングス,202503,20250512,196523,14364,12427,8207,372508,82955,9056,226778,22.3,11.04,2.31,140300000
9006,京浜急行電鉄,202503,20250512,293860,35642,34971,24301,1039708,371562,43738,474298,35.7,6.69,2.29,275760547
9008,京王電鉄,202503,20250512,452916,54148,53253,42857,1122589,414640,59023,446935,36.9,10.61,3.89,586018150
9039,サカイ引越センター,202503,20250512,121023,12925,13143,8765,127234,95947,4731,3489,75.4,9.46,7.07,42324000
9065,山九,202503,20250512,606791,43945,44679,30747,545189,293212,28619,81229,53.8,10.69,5.86,52901749
9068,丸全昭和運輸,202503,20250512,144572,14648,15769,9804,192088,130054,10127,26271,67.7,7.66,5.11,20618244
9069,センコーグループホールディングス,202503,20250512,854550,34946,33767,18610,718739,217054,39483,276756,30.2,9.39,2.65,175692457
9090,AZ-COM丸和ホールディングス,202503,20250512,208370,10969,11645,7284,138440,57777,9117,42471,41.7,12.9,5.34,137984520
9304,澁澤倉庫,202503,20250512,78620,4668,5583,4908,117446,64375,7847,30013,54.8,7.78,4.26,60870988
9306,東陽倉庫,202503,20250512,29186,1241,1857,1495,48587,26645,3412,14730,54.8,5.77,3.11,7864990
9312,ケイヒン,202503,20250512,50452,2898,3101,2188,51106,30256,5376,7778,59.2,7.48,4.35,6536445
9319,中央倉庫,202503,20250512,27840,2189,2433,1588,58928,45791,2734,5301,77.7,3.49,2.72,19064897
9332,NISSOホールディングス,202503,20250512,101560,3555,3563,1935,31276,16500,2016,1528,52.8,12.26,6.18,34024720
9364,上組,202503,20250512,279182,33095,36655,26935,491092,382889,31642,40486,78,7.01,5.53,106576837
9405,朝日放送グループホールディングス,202503,20250512,91923,2591,2506,2502,128538,76564,5299,15219,59.6,3.35,1.99,41833000
9466,アイドママーケティングコミュニケーション,202503,20250512,5586,359,382,473,4546,3298,513,499,72.5,15.12,10.36,13520000
9517,イーレックス,202503,20250512,171217,7137,6330,2118,153382,64145,18346,43339,41.8,3.79,1.42,78161608
9519,レノバ,202503,20250512,70246,4066,3900,2687,530051,89106,11329,323571,16.8,3.42,0.54,91252300
9535,広島ガス,202503,20250512,91595,1252,1909,1687,129593,68256,5291,43993,52.7,2.49,1.26,68737429
9735,セコム,202503,20250512,1199942,144297,175123,108109,2145576,1270348,66427,44397,59.2,8.67,5.12,466599796
9739,NSW,202503,20250512,50028,6116,6168,3662,47149,35414,5500,-,75.1,10.68,8.02,14900000
9820,エムティジェネックス,202503,20250512,3950,410,431,264,5121,4128,1072,101,80.6,6.57,5.22,1079600
9845,パーカーコーポレーション,202503,20250512,70014,4910,4462,2812,70853,45505,2201,4314,64.2,6.46,4.01,26801452
9854,愛眼,202503,20250512,14863,-128,-47,3,13854,12011,5478,-,86.7,0.02,0.02,21076154
9857,英和,202503,20250512,47136,2786,2853,1954,33123,16956,1533,166,51.2,11.94,6.01,6470000
9887,松屋フーズホールディングス,202503,20250512,154223,4406,5149,2185,104155,45615,6655,32018,43.8,4.88,2.24,20595468
9889,JBCCホールディングス,202503,20250512,69868,6155,6314,4603,44466,24182,4713,2588,54.4,20.3,11.27,71094972
9986,蔵王産業,202503,20250512,8449,911,929,616,14757,12876,2077,-,87.3,4.8,4.17,6266000
9990,サックスバーホールディングス,202503,20250512,52289,4044,4130,2545,40313,29541,2986,1000,73.3,8.87,6.39,29859900
1375,ユキグニファクトリー,202503,20250509,53139,2419,2175,1502,37868,12366,100,16857,32.7,12.61,3.96,39910700
143A,イシン,202503,20250509,1393,245,211,177,2177,1201,164,-,55.2,16.49,8.48,1932700
1721,コムシスホールディングス,202503,20250509,614631,45998,46650,30076,539730,373994,10000,3009,69.3,8.17,5.7,118000000
1813,不動テトラ,202503,20250509,69557,3177,3366,2202,64148,34220,5000,11350,53.3,6.57,3.69,16489522
1822,大豊建設,202503,20250509,143394,5533,5204,3691,149842,71473,10000,6868,47.7,5.31,2.34,90415815
1882,東亜道路工業,202503,20250509,126575,5015,5206,4127,90721,55412,7584,5900,61.1,7.5,4.5,50394730
1929,日特建設,202503,20250509,67216,3679,3764,2408,56946,34371,6076,696,60.4,7.06,4.32,41774899
1948,弘電社,202503,20250509,39264,3081,3169,2737,33375,21811,1520,500,65.4,12.98,8.32,8970000
1951,エクシオグループ,202503,20250509,670822,42465,43508,26855,642505,321043,6888,129189,50,8.47,4.35,205624838
1980,ダイダン,202503,20250509,262732,23037,23479,17443,215309,107020,4479,23602,49.7,17.38,9.28,137891406
2201,森永製菓,202503,20250509,228957,21266,22304,17710,209986,130866,18612,19000,62.3,13.52,8.17,86111638
2209,井村屋グループ,202503,20250509,51121,3005,3169,2198,36677,22122,2576,900,60.3,10.2,5.88,13086200
2269,明治ホールディングス,202503,20250509,1154074,84702,82013,50800,1184472,748289,30000,47799,63.2,6.8,4.25,282200000
2376,サイネックス,202503,20250509,16491,478,492,274,14810,8044,750,3002,54.3,3.45,1.84,6470660
2432,ディー・エヌ・エー,202503,20250509,163997,28973,31817,24193,394188,241733,10397,36149,61.3,10.73,6.63,122145545
2435,シダー,202503,20250509,17829,892,668,444,20003,1485,432,9589,7.4,34.55,2.2,11476000
2440,ぐるなび,202503,20250509,13458,262,261,211,11128,4928,100,3400,44.3,3.82,1.87,56903800
2730,エディオン,202503,20250509,768129,23394,24350,14118,434830,222519,11940,77902,51.2,6.46,3.26,112005636
2815,アリアケジャパン,202503,20250509,65400,11117,12001,8206,145734,127100,7095,-,87.2,6.66,5.81,32808683
2816,ダイショー,202503,20250509,26241,656,673,458,18705,9799,870,2760,52.4,4.74,2.61,9868800
2903,シノブフーズ,202503,20250509,57651,2332,2367,996,29684,14992,4693,5820,50.5,6.67,3.31,12500000
2922,なとり,202503,20250509,48892,1968,2025,1352,41572,26212,1975,4204,63.1,5.27,3.18,15032209
3034,クオールホールディングス,202503,20250509,263972,13465,13831,5164,159669,57124,5786,41071,35.8,9.4,3.72,38902785
3088,マツキヨココカラ＆カンパニー,202503,20250509,1061626,82082,86271,54675,712780,520755,22051,1187,73.1,10.56,7.61,410275830
3110,日東紡績,202503,20250509,109035,16445,17568,12837,223105,129734,19699,51569,58.1,10.36,5.9,37723012
3113,UNIVA・Oakホールディングス,202503,20250509,2882,-722,-986,-740,5007,1782,100,1918,35.6,-33.18,-13.39,93281713
3179,シュッピン,202503,20250509,52658,3396,3368,2020,18088,10168,541,4493,56.2,21.92,11.83,21354291
3289,東急不動産ホールディングス,202503,20250509,1150301,140763,129152,77562,3259928,822522,77562,1747845,25.2,9.86,2.47,719830974
3315,日本コークス工業,202503,20250509,99045,-8562,-10269,-13908,130630,41600,7000,65816,31.8,-28.4,-10.25,302349449
3371,ソフトクリエイトホールディングス,202503,20250509,30951,5497,5764,3547,35592,20832,854,-,58.5,17.99,10.61,27550278
3392,デリカフーズホールディングス,202503,20250509,58762,805,884,542,26640,9030,1772,10353,33.9,6.1,1.95,16372000
3407,旭化成,202503,20250509,3037312,211921,193459,134996,4015214,1859421,103389,1157458,46.3,7.35,3.52,1365751932
3422,J-MAX,202503,20250509,47102,19,-535,-3282,55724,17944,1950,23846,32.2,-17.34,-6.11,11857200
3423,エスイー,202503,20250509,25887,849,885,543,25470,11197,1228,5218,44,4.9,2.09,31256600
3433,トーカロ,202503,20250509,54231,12271,12561,8052,81676,60647,2658,3795,74.3,13.87,10.09,61200000
3571,ソトー,202503,20250509,10043,-146,31,406,19915,14826,100,685,74.4,2.79,2.1,13533757
3577,東海染工,202503,20250509,14347,419,569,311,14892,7166,4300,2095,48.1,4.44,2.11,3614252
3628,データホライゾン,202503,20250509,3853,-516,-503,-2964,6095,153,2156,4810,2.5,-,-,12711780
3763,プロシップ,202503,20250509,7564,2309,2431,1930,11380,8737,770,-,76.8,24.06,18.29,31943000
3768,リスクモンスター,202503,20250509,3728,263,289,-49,7139,5883,1188,350,82.4,-0.83,-0.7,7636922
3773,アドバンスト・メディア,202503,20250509,6665,1442,1539,1408,15970,12307,6930,1770,77.1,11.96,8.86,18392724
3798,ULSグループ,202503,20250509,13203,2623,2638,1635,13570,9793,877,-,72.2,17.97,13.3,63853000
3834,朝日ネット,202503,20250509,13078,2345,2364,1752,14787,13091,630,-,88.5,13.69,12.06,32000000
3841,ジーダット,202503,20250509,2062,256,290,213,4273,3594,762,-,84.1,5.98,4.85,3909800
3851,日本一ソフトウェア,202503,20250509,5299,-274,-75,-157,11154,7760,568,1667,69.6,-2,-1.43,5151100
3932,アカツキ,202503,20250509,23652,3915,4233,1646,54632,41112,2780,6100,75.3,4.06,3.09,14519800
3941,レンゴー,202503,20250509,993251,37408,39178,28979,1243116,463968,31066,427494,37.3,6.52,2.4,271056029
3943,大石産業,202503,20250509,23485,904,1130,944,26692,18660,466,525,69.9,5.19,3.58,9328000
4046,大阪ソーダ,202503,20250509,96434,13246,14154,10332,153935,115592,15871,7635,75.1,9.17,6.79,133660085
4109,ステラケミファ,202503,20250509,36288,4338,4161,2892,60725,44752,4829,5373,73.7,6.5,4.85,12973248
4218,ニチバン,202503,20250509,49457,2586,2681,1959,67603,43187,5451,2000,63.9,4.62,2.89,20738006
4290,プレステージ・インターナショナル,202503,20250509,63719,7961,8416,4870,71590,46029,1601,125,64.3,10.82,6.99,127176300
4366,ダイトーケミックス,202503,20250509,18644,848,819,820,24330,14855,2901,5402,61.1,5.58,3.33,33600000
4403,日油,202503,20250509,238310,45308,46572,36497,357196,278528,17742,4314,78,13.43,10.45,236524128
4538,扶桑薬品工業,202503,20250509,60563,4131,3780,-3288,81729,33043,10758,21289,40.4,-9.43,-4.17,9451169
4594,ブライトパス・バイオ,202503,20250509,1,-1160,-1147,-1151,1120,903,1199,25,80.6,-123.83,-97.96,138891300
4617,中国塗料,202503,20250509,131152,15381,16481,13721,144777,83532,11626,19786,57.7,17.81,9.9,55000000
4619,日本特殊塗料,202503,20250509,66060,4456,6709,4942,85243,57458,4753,3510,67.4,8.92,5.72,23611200
4624,イサム塗料,202503,20250509,8157,627,766,548,20887,17222,1290,-,82.5,3.22,2.63,2000000
4662,フォーカスシステムズ,202503,20250509,32555,2171,2164,1566,20893,14047,2905,1865,67.2,11.4,7.48,16292942
4667,アイサンテクノロジー,202503,20250509,6220,449,445,286,8671,6224,1922,51,71.8,4.6,3.31,5548979
4680,ラウンドワン,202503,20250509,177057,27006,27227,16032,213655,72050,25665,40695,33.7,22.53,8.03,289161942
4694,ビー・エム・エル,202503,20250509,143191,9364,9970,6263,182873,129379,6045,-,70.7,4.91,3.54,40749426
4718,早稲田アカデミー,202503,20250509,35069,3549,3600,2338,24485,15184,2014,-,62,15.88,9.84,19012452
